,נפגעים - קשה,נפגעים - קל,תאונות - כללי - קשות,תאונות - כללי - קלות,תאונות - דו גלגלי - נפגעים - קל,נפגעים - הרוגים,תאונות - כללי - קטלניות,תאונות - הולכי רגל - נפגעים - קל,תאונות - הולכי רגל - תאונות - קלות,תאונות - משאית - נפגעים - קל,תאונות - דו גלגלי - נפגעים - קשה,תאונות - דו גלגלי - תאונות - קשות,תאונות - משאית - נפגעים - קשה,תאונות - הולכי רגל - נפגעים - קשה,תאונות - הולכי רגל - תאונות - קשות,תאונות - דו גלגלי - נפגעים - הרוגים,תאונות - דו גלגלי - תאונות - קטלניות,תאונות - דו גלגלי - תאונות - קלות,תאונות - משאית - תאונות - קשות,תאונות - משאית - נפגעים - הרוגים,תאונות - משאית - תאונות - קטלניות,תאונות - הולכי רגל - נפגעים - הרוגים,תאונות - הולכי רגל - תאונות - קטלניות
3922::כניסה לאזור תעשייה כנות (צפון):כניסה לאזור תעשייה כנות (דרום),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4233::צומת נען:כניסה לנען,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4304::צומת מצליח:כניסה למצליח,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4311::צומת לגן שורק:כניסה לאזור תעשיה,0,8,0,4,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
4313::צומת נס ציונה (צפון):כניסה לבאר יעקב,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4313::כניסה לאזור תעשיה:כניסה לצריפין שער י-ם,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
4623::כניסה לנחלים:כניסה לנופך,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
5066::צומת יקיר:כניסה ליקיר,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5066::כניסה ליקיר קטן:כניסה לקנה,0,16,0,3,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,
5066::צומת לעמנואל:כניסה לג'ינסאפוט,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5504::צומת כפר סבא מזרח/ קבר בנימין:כניסה לניר אליהו,0,6,0,4,0,2,0,0,0,0,1,1,0,0,0,,,,,,,,
"5613::צומת פרדסייה:כניסה לבי""ח פרדסייה",0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
"5613::כניסה לבי""ח פרדסייה:כניסה לצור משה",0,2,0,1,0,0,0,1,2,1,0,0,1,1,0,,,,,,,,
5613::כניסה לצור משה:כניסה לגאולים,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5614::צומת קלנסווה:כניסה לקלנסווה,0,4,0,1,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,
5711::צומת רופין:כניסה למדרשת רופין,0,5,0,2,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,
5714::צומת ניצני עוז:כניסה ליד חנה,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
5720::צומת חפר:מפגש עם מסילת ברזל,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6400::צומת משהד:כניסה להר יונה,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
6403::כניסה לשער מנשה (מזרח):כניסה לשער מנשה (מערב),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6403::כניסה לשער מנשה (מערב):כניסה לגן שומרון,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6513::צומת לברטעה:כניסה לברטעה עליונה,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6734::כניסה ליעל:כניסה לפרזון,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"6953::כניסה לבי""ס גדנ""ע:כניסה למ חינוך שומרה",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7111::צומת עין הוד:כניסה לעין הוד,0,4,0,1,0,0,0,2,2,1,0,0,0,0,2,,,,,,,,
7255::כניסה לאזור תעשייה מגדל העמק:צומת כפר ברוך,0,6,0,3,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
7255::צומת כפר ברוך:כניסה לאזור תעשייה מפעלי העמק,0,6,0,3,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
7513::צומת אלונים:כניסה לאלונים,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7626::צומת נהלל:כניסה דרומית לזרזיר ,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
7717::כניסה לארבל:כניסה לכפר זיתים,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7955::צומת יודפת:כניסה ליודפת,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8277::צומת כורזים:כניסה לכורזים,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8510::כניסה למשמר הים:צומת עין המפרץ,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8510::צומת עין המפרץ:צומת עכו (דרום),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8655::צומת סמוע:כניסה לפקיעין החדשה,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,,,,,,,,
8677::צומת כפר הנשיא:כניסה לאזור תעשייה צ.ח.ר,0,16,0,5,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,
8833::צומת אשרת:כניסה ליחיעם,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8833::כניסה לעין יעקב:כניסה לאזור תעשייה תרשיחא,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,
8835::כניסה למעונה (מזרח):כניסה לתרשיחא,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8835::כניסה לתרשיחא:צומת תרשיחא,0,6,0,0,0,0,0,2,0,1,0,0,0,0,0,,,,,,,,
8900::כניסה לבירייה:צומת צפת,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8900::יישוב צפת רח השבעה:יישוב צפת שיכון ב,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8900::יישוב צפת שיכון ב:יישוב צפת רח מנחם בגין,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9088::צומת נשוט:כניסה לקצרין (צפון),0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9088::כניסה לקצרין (צפון):כניסה לקצרין (דרום),0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9779::כניסה לעמיר:צומת שמורת נחל רחום,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,
9888::צומת בית הלל:כניסה לבית הלל,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9977::צומת משגב עם:כניסה למחצבה,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
::צומת משגב עם:כניסה למחצבה,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4103::צומת תל נוף:כניסה לבית אלעזרי (דרום),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
4775::צומת אריאל:כניסה לאריאל,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
"8967::צומת מבצר ברעם:כניסה לדוב""ב",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,,,,,,,
